Model,Unlearning_Score,Test_Accuracy,Forget_Metric,Generalization_Preservation,Retention_Preservation,Learning_Rate,Forget_Ratio,Pruning_Ratio,Importance_Threshold,Forget_Loss_Weight,Prune_Classifier_Only,Combined_Score
hyperparam_search_20251129_231011_2,-0.0954975623745351,0.9547,0.0037000000000000366,0.9757,1.0020833333333332,0.0001,0.1,0.05,0.5,0.1,0,0.5
hyperparam_search_20251130_143315_8,-2.0,0.9229,0.1724000000000001,0.9439,0.9894166666666668,0.0001,0.1,0.05,0.5,0.5,0,0.5
hyperparam_search_20251130_193905_10,-0.1922658490752629,0.8208,0.01079999999999992,0.8418,0.88575,0.0001,0.1,0.1,0.5,0.1,0,0.4956381361277899
hyperparam_search_20251201_010656_12,-0.2379300646854786,0.8166,0.014100000000000001,0.8376,0.8850277777777777,0.0001,0.1,0.1,0.5,0.2,0,0.4934303222108681
hyperparam_search_20251201_064023_14,-0.7072538860103622,0.8255,0.045499999999999985,0.8465,0.8985555555555556,0.0001,0.1,0.1,0.5,0.3,0,0.4632806465692818
hyperparam_search_20251201_101525_16,-1.461220268872802,0.8073,0.10204999999999997,0.8283,0.8856388888888889,0.0001,0.1,0.1,0.5,0.5,0,0.43294272356503116
hyperparam_search_20251130_170019_9,-0.5857605177993501,0.9843,0.009050000000000002,1.0053,1.009083333333333,0.0001,0.1,0.1,0.5,0.1,1,0.38714499116960094
hyperparam_search_20251130_043212_4,-1.0848104717752958,0.9502,0.04420000000000002,0.9712,0.9997777777777778,0.0001,0.1,0.05,0.5,0.2,0,0.36030554688868405
hyperparam_search_20251129_202842_1,-0.7488443759630143,0.9853,0.01079999999999992,1.0063,1.0083333333333333,0.0001,0.1,0.05,0.5,0.1,1,0.349516368076473
hyperparam_search_20251130_095617_6,-1.7157652474108176,0.9478,0.07455,0.9688,1.00025,0.0001,0.1,0.05,0.5,0.3,0,0.28460993218841224
hyperparam_search_20251201_114803_17,-1.310126582278491,0.9876,0.016100000000000003,1.0086,1.0085555555555556,0.0001,0.1,0.15,0.5,0.1,1,0.21786807399117597
hyperparam_search_20251201_083717_15,-2.0,0.9829,0.06815000000000004,1.0039,1.0086111111111111,0.0001,0.1,0.1,0.5,0.5,1,0.1910195613515115
hyperparam_search_20251130_122331_7,-2.0,0.9829,0.05615000000000003,1.0039,1.0090555555555556,0.0001,0.1,0.05,0.5,0.5,1,0.15545346769413151
hyperparam_search_20251201_035956_13,-2.0,0.9847,0.05020000000000002,1.0057,1.0087777777777778,0.0001,0.1,0.1,0.5,0.3,1,0.13781861292234726
hyperparam_search_20251130_015124_3,-1.7813248204309755,0.9858,0.024800000000000044,1.0068,1.0082777777777778,0.0001,0.1,0.05,0.5,0.2,1,0.1199471030629532
hyperparam_search_20251130_071337_5,-2.0,0.9851,0.04135,1.0061,1.0077222222222222,0.0001,0.1,0.05,0.5,0.3,1,0.11158861885002948
hyperparam_search_20251130_222107_11,-2.0,0.9848,0.030549999999999966,1.0058,1.0088333333333337,0.0001,0.1,0.1,0.5,0.2,1,0.07957913455838743
