run_id,timestamp,pruning_ratio,importance_threshold,pruning_iterations,forget_weight,retention_weight,pareto_steps,adaptive_weights,phase1_epochs,phase2_epochs,refinement_epochs,learning_rate,use_gradient_masking,base_forget_accuracy,base_retain_accuracy,unlearned_forget_accuracy,unlearned_retain_accuracy,unlearning_effectiveness,retention_preservation,forget_accuracy_drop,retain_accuracy_change,pruned_parameters,total_parameters,pruning_ratio_actual,pareto_frontier_size,status,error_message
0,2025-12-01T01:54:58.873576,0.2,0.5,2,0.5,0.5,6,False,3,3,2,3e-05,True,0.996,0.9915,0.984,0.999,0.016000000000000014,0.999,0.01200000000000001,0.007499999999999951,89983,85806346,0.001048675350888383,6,success,
1,2025-12-01T01:58:15.559653,0.2,0.5,2,0.37499999999999994,0.625,6,True,3,3,2,3e-05,True,0.998,0.9985,0.966,0.987,0.03400000000000003,0.987,0.03200000000000003,-0.011500000000000066,83617,85806346,0.0009744850340090231,6,success,
2,2025-12-01T02:01:31.875740,0.3,0.5,2,0.5,0.5,6,False,3,3,2,0.0001,True,0.998,0.999,0.746,0.764,0.254,0.764,0.252,-0.235,57413,85806346,0.0006690996957264676,6,success,
3,2025-12-01T02:04:48.305775,0.3,0.5,2,0.5,0.5,6,False,3,3,2,3e-05,True,0.996,0.9985,0.96,0.981,0.040000000000000036,0.981,0.03600000000000003,-0.01750000000000007,70242,85806346,0.0008186107820043986,6,success,
4,2025-12-01T02:08:04.602619,0.2,0.5,2,0.37499999999999994,0.625,6,False,3,3,2,0.0001,True,0.996,0.997,0.946,0.9855,0.05400000000000005,0.9855,0.050000000000000044,-0.011499999999999955,80578,85806346,0.0009390680731236359,6,success,
5,2025-12-01T02:11:21.131897,0.1,0.6,2,0.3,0.7,6,True,3,3,2,0.0001,True,0.998,1.0,0.942,0.962,0.05800000000000005,0.962,0.05600000000000005,-0.038000000000000034,20095,85806346,0.00023419013787162084,6,success,
6,2025-12-01T02:14:37.657010,0.1,0.6,2,0.5,0.5,6,False,3,3,2,5e-05,True,0.996,0.999,0.908,0.951,0.09199999999999997,0.951,0.08799999999999997,-0.04800000000000004,20454,85806346,0.0002383739776076702,6,success,
7,2025-12-01T02:17:54.171206,0.2,0.6,2,0.5833333333333334,0.4166666666666667,6,True,3,3,2,5e-05,True,1.0,0.9985,0.838,0.84,0.16200000000000003,0.84,0.16200000000000003,-0.15850000000000009,25943,85806346,0.0003023436052153998,6,success,
8,2025-12-01T02:21:48.080492,0.2,0.6,3,0.4166666666666667,0.5833333333333334,6,False,3,3,2,3e-05,True,1.0,0.9995,0.97,0.9955,0.030000000000000027,0.9955,0.030000000000000027,-0.0040000000000000036,44381,85806346,0.0005172228170629711,6,success,
9,2025-12-01T02:25:41.920324,0.1,0.6,3,0.7,0.3,6,True,3,3,2,3e-05,True,0.998,0.999,0.734,0.752,0.266,0.752,0.264,-0.247,36153,85806346,0.0004213324734746309,6,success,
